126, J1641-2347, ebvb01, 1.0910084299, 16, ebvb01, 4.11E-17, 15, ebvb01, 1.33, 0.34, -0.09, 7.22, 1.6000e-11, *, *, 1.5000e-18
127, J1905+0400, hfs+04, 0.0037844048, 3, gsf+11, 4.9052E-21, 15, gsf+11, 1.33, -0.03, 0.82, 7.45, 3.0000e-16, *, *, 1.5000e-24
128, B1946-25, mlt+78, 0.9576166303, 4, hlk+04, 3.270565E-15, 16, hlk+04, 1.34, -0.53, 0.32, 7.31, 4.0000e-12, *, *, 1.6000e-20
129, J1629-6902, eb01b, 0.0060006034, 19, eb01b, 1.00E-20, 3, eb01b, 1.36, -0.33, -0.84, 7.48, 1.9000e-15, *, *, 3.0000e-22
130, J1740+1000, mca00, 0.1540871743, 2, mac+02, 2.14651E-14, 2, mac+02, 1.36, 0.47, 0.71, 7.44, 2.0000e-12, *, *, 2.0000e-19
131, J1745+1017, bgc+13, 0.0026521297, 4, bgc+13, 2.729E-21, 15, bgc+13, 1.36, 0.45, 0.73, 7.45, 4.0000e-16, *, *, 1.5000e-23
132, J1757-5322, eb01, 0.0088699612, 4, eb01b, 2.63E-20, 4, eb01b, 1.36, -0.33, -0.46, 7.26, 4.0000e-15, *, *, 4.0000e-22
133, J1023+0038, asr+09, 0.0016879874, 4, asr+09, 1.2E-20, 8, asr+09, 1.37, 0.98, -0.85, 8.93, 4.0000e-16, *, *, 8.0000e-21
134, J2033+1734, rtj+96, 0.0059489575, 6, spl04, 1.1112E-20, 8, spl04, 1.37, -0.31, 1.17, 7.85, 6.0000e-16, *, *, 8.0000e-24
135, B2110+27, skk+80, 1.2028517541, 12, hlk+04, 2.622965E-15, 9, hlk+04, 1.39, -0.34, 1.3, 8.15, 1.2000e-12, *, *, 9.0000e-21
136, J1832-0836, bbb+13, 0.0027191121, 3, bbb+13, 8.62E-21, 5, bbb+13, 1.4, 0.01, 0.55, 7.21, 3.0000e-16, *, *, 5.0000e-23
137, J1918-0642, eb01b, 0.0076458729, 4, jsb+10, 2.56944E-20, 10, jsb+10, 1.4, -0.22, 0.69, 7.3, 4.0000e-17, *, *, 1.0000e-24
138, B1916+14, ht74, 1.1810232973, 9, hlk+04, 2.123644E-13, 9, hlk+04, 1.41, 0.02, 1.07, 7.58, 9.0000e-11, *, *, 9.0000e-19
139, B0844-35, mlt+78, 1.1160971634, 5, hlk+04, 1.60135E-15, 3, hlk+04, 1.43, 0.12, -1.39, 8.82, 5.0000e-12, *, *, 3.0000e-20
140, J1612+2008, blr+13, 0.426645981, 12, blr+13, 3.727E-17, 15, blr+13, 1.43, 0.99, 0.6, 7.66, 1.2000e-12, *, *, 1.5000e-19
141, B1717-29, dls72, 0.6204483653, 16, hlk+04, 7.45999E-16, 16, hlk+04, 1.43, 0.11, -0.09, 7.08, 1.6000e-12, *, *, 1.6000e-20
142, J2229+2643, cam95a, 0.0029778193, 5, wdk+00, 1.46E-21, 2, wdk+00, 1.43, -0.63, 1.28, 8.45, 5.0000e-16, *, *, 2.0000e-23
143, B0820+02, mlt+78, 0.8648728047, 9, hlk+04, 1.04550E-16, 6, hlk+04, 1.44, 0.52, -0.9, 9.5, 9.0000e-13, *, *, 6.0000e-21
144, J1751-2857, sfl+05, 0.0039148732, 6, sfl+05, 1.126e-20, 4, sfl+05, 1.44, -0.03, 0.02, 7.06, 6.0000e-16, *, *, 4.0000e-23
145, B2315+21, dth78, 1.4446531023, 3, hlk+04, 1.047047E-15, 17, hlk+04, 1.45, -0.85, 1.17, 8.62, 3.0000e-12, *, *, 1.7000e-20
146, J1425-5723, kbm+03, 0.3532629202, 8, kbm+03, 2.2E-17, 2, kbm+03, 1.46, 0.08, -1.02, 7.46, 8.0000e-11, *, *, 2.0000e-18
147, J1435-5954, hfs+04, 0.4729954355, 16, hfs+04, 1.5433E-15, 7, hfs+04, 1.46, 0.01, -1.02, 7.46, 1.6000e-11, *, *, 7.0000e-19
148, J1530-5327, mlc+01, 0.2789567212, 15, mlc+01, 4.683E-15, 4, mlc+01, 1.46, 0.06, -0.83, 7.3, 1.5000e-11, *, *, 4.0000e-18
149, J1543-5149, kjb+12, 0.0020569604, 6, nbb+14, 1.6159E-20, 13, nbb+14, 1.46, 0.06, -0.77, 7.26, 6.0000e-16, *, *, 1.3000e-23
150, B1918+26, dtws85, 0.7855218495, 4, hlk+04, 3.436E-17, 4, hlk+04, 1.46, 0.15, 1.26, 7.78, 4.0000e-12, *, *, 4.0000e-20
151, J1604-4718, lfl+06, 0.5274658742, 20, lfl+06, 4.961E-15, 9, lfl+06, 1.48, 0.1, -0.66, 7.18, 2.0000e-11, *, *, 9.0000e-18
152, B1735-32, cjlm87, 0.7684989455, 3, hlk+04, 7.94911E-16, 18, hlk+04, 1.48, -0.01, -0.09, 7.02, 3.0000e-12, *, *, 1.8000e-20
153, B0320+39, dth78, 3.0320719564, 10, hlk+04, 6.3562E-16, 7, hlk+04, 1.49, -0.37, 0.67, 9.78, 1.0000e-11, *, *, 7.0000e-20
154, B0609+37, stwd85, 0.2979823266, 18, hlk+04, 5.94681E-17, 18, hlk+04, 1.49, 0.24, 0.12, 9.97, 1.8000e-13, *, *, 1.8000e-21
155, B1730-22, dls73, 0.871682833, 3, hlk+04, 4.2703E-17, 10, hlk+04, 1.49, 0.15, 0.1, 7.02, 3.0000e-12, *, *, 1.0000e-20
156, B0403-76, mlt+78, 0.5452527424, 16, smd93, 1.5382E-15, 12, smd93, 1.5, -0.88, -1.14, 8.08, 1.6000e-11, *, *, 1.2000e-18
